Date,Occupied
2017-02-21,87
2017-02-22,96
2017-02-23,100
2017-02-24,90
2017-02-25,90
2017-02-26,85
2017-02-27,78
2017-02-28,51
2017-03-01,74
2017-03-02,101
2017-03-03,99
2017-03-04,101
2017-03-05,91
2017-03-06,75
2017-03-07,82
2017-03-08,82
2017-03-09,81
2017-03-10,86
2017-03-11,89
2017-03-12,79
2017-03-13,87
2017-03-14,89
2017-03-15,94
2017-03-16,96
2017-03-17,92
2017-03-18,78
2017-03-19,89
2017-03-20,98
2017-03-21,99
2017-03-22,100
2017-03-23,84
2017-03-24,78
2017-03-25,91
2017-03-26,64
2017-03-27,72
2017-03-28,88
2017-03-29,88
2017-03-30,88
2017-03-31,97
2017-04-01,88
2017-04-02,81
2017-04-03,79
2017-04-04,70
2017-04-05,105
2017-04-06,102
2017-04-07,86
2017-04-08,92
2017-04-09,78
2017-04-10,75
2017-04-11,80
2017-04-12,79
2017-04-13,79
2017-04-14,75
2017-04-15,74
2017-04-16,69
2017-04-17,75
2017-04-18,73
2017-04-19,73
2017-04-20,81
2017-04-21,79
2017-04-22,99
2017-04-23,101
2017-04-24,89
2017-04-25,105
2017-04-26,110
2017-04-27,97
2017-04-28,93
2017-04-29,96
2017-04-30,94
2017-05-01,87
2017-05-02,75
2017-05-03,88
2017-05-04,87
2017-05-05,85
2017-05-06,77
2017-05-07,70
2017-05-08,87
2017-05-09,96
2017-05-10,90
2017-05-11,85
2017-05-12,82
2017-05-13,86
2017-05-14,84
2017-05-15,89
2017-05-16,96
2017-05-17,88
2017-05-18,89
2017-05-19,87
2017-05-20,83
2017-05-21,86
2017-05-22,83
2017-05-23,87
2017-05-24,104
2017-05-25,87
2017-05-26,83
2017-05-27,81
2017-05-28,90
2017-05-29,93
2017-05-30,92
2017-05-31,93
2017-06-01,80
2017-06-02,83
2017-06-03,74
2017-06-04,74
2017-06-05,78
2017-06-06,86
2017-06-07,77
2017-06-08,78
2017-06-09,77
2017-06-10,78
2017-06-11,80
2017-06-12,74
2017-06-13,77
2017-06-14,74
2017-06-15,73
2017-06-16,76
2017-06-17,81
2017-06-18,71
2017-06-19,77
2017-06-20,74
2017-06-21,79
2017-06-22,79
2017-06-23,76
2017-06-24,76
2017-06-25,76
2017-06-26,74
2017-06-27,73
2017-06-28,70
2017-06-29,74
2017-06-30,80
2017-07-01,81
2017-07-02,77
2017-07-03,74
2017-07-04,76
2017-07-05,76
2017-07-06,76
2017-07-07,77
2017-07-08,75
2017-07-09,73
2017-07-10,72
2017-07-11,78
2017-07-12,80
2017-07-13,77
2017-07-14,75
2017-07-15,74
2017-07-16,69
2017-07-17,76
2017-07-18,76
2017-07-19,75
2017-07-20,71
2017-07-21,73
2017-07-22,71
2017-07-23,66
2017-07-24,76
2017-07-25,74
2017-07-26,74
2017-07-27,69
2017-07-28,72
2017-07-29,66
2017-07-30,73
2017-07-31,68
2017-08-01,76
2017-08-02,74
2017-08-03,68
2017-08-04,77
2017-08-05,73
2017-08-06,70
2017-08-07,72
2017-08-08,73
2017-08-09,72
2017-08-10,75
2017-08-11,72
2017-08-12,71
2017-08-13,71
2017-08-14,70
2017-08-15,71
2017-08-16,73
2017-08-17,75
2017-08-18,73
2017-08-19,74
2017-08-20,73
2017-08-21,71
2017-08-22,71
2017-08-23,70
2017-08-24,71
2017-08-25,74
2017-08-26,75
2017-08-27,74
2017-08-28,71
2017-08-29,71
2017-08-30,75
2017-08-31,73
2017-09-01,60
2017-09-02,42
2017-09-03,25
2017-09-04,23
2017-09-05,14
2017-09-06,10
2017-09-07,3
2017-09-08,2
2017-09-09,2
2017-09-10,1
2017-09-11,1
2017-09-12,1
2017-09-13,1
2017-09-14,0
2017-09-15,0
2017-09-16,0
2017-09-17,0
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
