Reservation_Status_Date,Assigned_Type_A_Count,Reserved_Type_A_Count
15/04/2016,59.0,71
15/04/2017,14.0,16
15/05/2016,39.0,55
15/05/2017,33.0,34
15/06/2015,4.0,5
15/06/2016,20.0,26
15/06/2017,23.0,24
15/07/2015,14.0,19
15/07/2016,15.0,16
15/07/2017,24.0,27
15/08/2015,17.0,24
15/08/2016,21.0,25
15/08/2017,19.0,21
15/09/2015,9.0,11
15/09/2016,47.0,57
15/10/2015,22.0,33
15/10/2016,3.0,9
15/11/2015,46.0,84
15/11/2016,18.0,22
15/12/2015,8.0,12
15/12/2016,48.0,80
16/01/2016,15.0,27
16/01/2017,10.0,17
16/02/2016,6.0,20
16/02/2017,18.0,42
16/03/2016,35.0,48
16/03/2017,14.0,23
16/04/2015,1.0,1
16/04/2016,26.0,37
16/04/2017,25.0,26
16/05/2015,3.0,3
16/05/2016,50.0,71
16/05/2017,20.0,25
16/06/2015,2.0,2
16/06/2016,15.0,24
16/06/2017,17.0,17
16/07/2015,18.0,23
16/07/2016,23.0,26
16/07/2017,18.0,22
16/08/2015,26.0,31
16/08/2016,17.0,19
16/08/2017,14.0,15
16/09/2015,31.0,56
16/09/2016,8.0,9
16/10/2015,25.0,25
16/10/2016,30.0,46
16/11/2015,47.0,51
16/11/2016,27.0,34
16/12/2015,4.0,14
16/12/2016,14.0,31
17/01/2016,11.0,26
17/01/2017,20.0,41
17/02/2016,17.0,35
17/02/2017,52.0,66
17/03/2015,4.0,4
17/03/2016,24.0,40
17/03/2017,12.0,19
17/04/2015,1.0,1
17/04/2016,19.0,29
17/04/2017,15.0,19
17/05/2016,11.0,16
17/05/2017,19.0,30
17/06/2015,81.0,81
17/06/2016,31.0,34
17/06/2017,13.0,13
17/07/2015,37.0,50
17/07/2016,20.0,25
17/07/2017,14.0,15
17/08/2015,23.0,27
17/08/2016,15.0,16
17/08/2017,26.0,26
17/09/2015,23.0,29
17/09/2016,8.0,14
17/10/2015,4.0,4
17/10/2016,46.0,67
17/11/2015,49.0,57
17/11/2016,23.0,36
17/12/2015,34.0,43
17/12/2016,15.0,27
18/01/2015,1.0,1
18/01/2016,30.0,38
18/01/2017,15.0,28
18/02/2016,18.0,32
18/02/2017,9.0,20
18/03/2015,1.0,1
18/03/2016,46.0,69
18/03/2017,26.0,41
18/04/2015,2.0,2
18/04/2016,35.0,46
18/04/2017,20.0,27
18/05/2015,4.0,4
18/05/2016,31.0,42
18/05/2017,19.0,27
18/06/2015,3.0,3
18/06/2016,23.0,23
18/06/2017,24.0,28
18/07/2015,10.0,16
18/07/2016,53.0,56
18/07/2017,15.0,17
18/08/2015,14.0,18
18/08/2016,28.0,28
18/08/2017,14.0,17
18/09/2015,12.0,16
18/09/2016,24.0,54
18/10/2015,12.0,31
18/10/2016,47.0,60
18/11/2014,1.0,1
18/11/2015,10.0,13
18/11/2016,24.0,33
18/12/2015,8.0,15
18/12/2016,18.0,32
19/01/2016,33.0,48
19/01/2017,76.0,136
19/02/2016,14.0,30
19/02/2017,16.0,27
19/03/2016,10.0,19
19/03/2017,14.0,17
19/04/2016,23.0,28
19/04/2017,20.0,29
19/05/2015,3.0,3
19/05/2016,27.0,41
19/05/2017,9.0,12
19/06/2015,4.0,4
19/06/2016,16.0,17
19/06/2017,15.0,17
19/07/2015,17.0,23
19/07/2016,31.0,32
19/07/2017,12.0,15
19/08/2015,5.0,8
19/08/2016,15.0,16
19/08/2017,12.0,14
19/09/2015,15.0,25
19/09/2016,32.0,37
19/10/2015,44.0,75
19/10/2016,35.0,46
19/11/2015,43.0,59
19/11/2016,13.0,25
19/12/2015,9.0,13
19/12/2016,12.0,23
20/01/2016,23.0,39
20/01/2017,13.0,31
20/02/2015,1.0,1
20/02/2016,15.0,26
20/02/2017,51.0,57
20/03/2016,32.0,41
20/03/2017,19.0,33
